2018-04-08 16:19:35 INFO  -Root WebApplicationContext: initialization started Caller+0	 at org.springframework.web.context.ContextLoader.initWebApplicationContext(ContextLoader.java:285)
2018-04-08 16:19:35 DEBUG -Adding [servletConfigInitParams] PropertySource with lowest search precedence Caller+0	 at org.springframework.core.env.MutablePropertySources.addLast(MutablePropertySources.java:111)
2018-04-08 16:19:35 DEBUG -Adding [servletContextInitParams] PropertySource with lowest search precedence Caller+0	 at org.springframework.core.env.MutablePropertySources.addLast(MutablePropertySources.java:111)
2018-04-08 16:19:35 DEBUG -Adding [jndiProperties] PropertySource with lowest search precedence Caller+0	 at org.springframework.core.env.MutablePropertySources.addLast(MutablePropertySources.java:111)
2018-04-08 16:19:35 DEBUG -Adding [systemProperties] PropertySource with lowest search precedence Caller+0	 at org.springframework.core.env.MutablePropertySources.addLast(MutablePropertySources.java:111)
2018-04-08 16:19:35 DEBUG -Adding [systemEnvironment] PropertySource with lowest search precedence Caller+0	 at org.springframework.core.env.MutablePropertySources.addLast(MutablePropertySources.java:111)
2018-04-08 16:19:35 DEBUG -Initialized StandardServletEnvironment with PropertySources [servletConfigInitParams,servletContextInitParams,jndiProperties,systemProperties,systemEnvironment] Caller+0	 at org.springframework.core.env.AbstractEnvironment.<init>(AbstractEnvironment.java:126)
2018-04-08 16:19:35 DEBUG -Replacing [servletContextInitParams] PropertySource with [servletContextInitParams] Caller+0	 at org.springframework.core.env.MutablePropertySources.replace(MutablePropertySources.java:176)
2018-04-08 16:19:35 INFO  -Refreshing Root WebApplicationContext: startup date [Sun Apr 08 16:19:35 CST 2018]; root of context hierarchy Caller+0	 at org.springframework.context.support.AbstractApplicationContext.prepareRefresh(AbstractApplicationContext.java:510)
2018-04-08 16:19:35 DEBUG -Adding [systemProperties] PropertySource with lowest search precedence Caller+0	 at org.springframework.core.env.MutablePropertySources.addLast(MutablePropertySources.java:111)
2018-04-08 16:19:35 DEBUG -Adding [systemEnvironment] PropertySource with lowest search precedence Caller+0	 at org.springframework.core.env.MutablePropertySources.addLast(MutablePropertySources.java:111)
2018-04-08 16:19:35 DEBUG -Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment] Caller+0	 at org.springframework.core.env.AbstractEnvironment.<init>(AbstractEnvironment.java:126)
2018-04-08 16:19:35 INFO  -Loading XML bean definitions from class path resource [spring.xml] Caller+0	 at org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(XmlBeanDefinitionReader.java:317)
2018-04-08 16:19:35 DEBUG -Using JAXP provider [com.sun.org.apache.xerces.internal.jaxp.DocumentBuilderFactoryImpl] Caller+0	 at org.springframework.beans.factory.xml.DefaultDocumentLoader.loadDocument(DefaultDocumentLoader.java:73)
2018-04-08 16:19:35 DEBUG -Loading schema mappings from [META-INF/spring.schemas] Caller+0	 at org.springframework.beans.factory.xml.PluggableSchemaResolver.getSchemaMappings(PluggableSchemaResolver.java:141)
